id	genus	specificepithet	status
596	Pterostegia	drymarioides	native
597	Quercus	agrifolia	native
598	Quercus	chrysolepis	native
599	Quercus	douglasii	native
600	Quercus	dumosa	native
601	Quercus	engelmannii	native
602	Quercus	kelloggii	native
603	Quercus	lobate	native
604	Quercus	pacifica	native
605	Quercus	parvula	native
606	Quercus	tomentella	native
607	Quercus	x	native
608	Rafinesquia	californica	native
609	Ranunculus	californicus	native
610	Raphanus	raphanistrum	introduced
611	Raphanus	sativus	introduced
612	Rhamnus	californica	native
613	Rhamnus	pirifolia	native
614	Rhus	integrifolia	native
615	Rhus	ovata	native
616	Ribes	malvaceum	native
617	Ribes	thacherianum	native
618	Ricinus	communis	introduced
619	Robinia	pseudoacacia	introduced
620	Rosa	californica	native
621	Rubus	ursinus	native
622	Rumex	acetosella	introduced
623	Rumex	conglomeratus	introduced
624	Rumex	crispus	introduced
625	Rumex	maritimus	native
626	Rumex	pulcher	introduced
627	Rumex	salicifolius	native
628	Ruppia	maritima	native
629	Sagina	apetala	native
630	Sagina	decumbens	native
631	Salicornia	subterminalis	native
632	Salicornia	virginica	native
633	Salix	exigua	native
634	Salix	laevigata	native
635	Salix	lasiolepis	native
636	Salsola	tragus	introduced
637	Salvia	brandegeei	native
638	Salvia	columbariae	native
639	Salvia	leucophylla	native
640	Salvia	mellifera	native
641	Sambuscus	mexicana	native
642	Samolus	parviflorus	native
643	Sanicula	hoffmannii	native
644	Satureja	douglasii	native
645	Saxigraga	californica	native
646	Schinus	molle	introduced
647	Schismus	arabicus	introduced
648	Schismus	barbatus	introduced
649	Scirpus	californicus	native
650	Scirpus	cernuus	native
651	Scirpus	maritimus	native
652	Scirpus	pungens	native
653	Scrophularia	californica	native
654	Scutellaria	tuberosa	native
655	Selaginella	bigelovii	native
656	Senecio	aphanactis	native
657	Senecio	flaccidus	native
658	Senecio	mikanioides	introduced
659	Senecio	vulgaris	introduced
660	Shortlobed	broomrape	native
661	Sibara	filifolia	native
662	Sidalcea	malviflora	native
663	Silene	antirrhina	native
664	Silene	gallica	introduced
665	Silene	laciniata	native
666	Silene	multinervia	native
667	Silybum	marianum	introduced
668	Sinapis	arvenis	introduced
669	Sisymbrium	irio	introduced
670	Sisymbrium	officinale	introduced
671	Sisymbrium	orientale	introduced
672	Sisyrinchium	bellum	native
673	Slender	vetch	native
674	Solanum	americanum	native
675	Solanum	clokeyi	native
676	Solanum	douglasii	native
677	Solanum	elaeagnifolium	introduced
678	Solidago	californica	native
679	Sonchus	asper	introduced
680	Sonchus	oleraceus	introduced
681	Sonchus	tenerrimus	introduced
682	Spergula	arvensis	introduced
683	Spergularia	bocconii	introduced
684	Spergularia	macrotheca	native
685	Spergularia	marina	native
686	Spergularia	villosa	introduced
687	Stachys	ajugoides	native
688	Stachys	bullata	native
689	Stebbinsoseris	heterocarpa	native
690	Stellaria	media	introduced
691	Stellaria	nitens	native
692	Stephanomeria	cichoriacea	native
693	Stephanomeria	diegensis	native
694	Stephanomeria	exigua	native
695	Stephanomeria	virgata	native
696	Stillingia	linearifolia	native
697	Stylocline	gnaphaloides	native
698	Stylomecon	heterophylla	native
699	Suaeda	taxifolia	native
700	Subcordate	manzanita	native
701	Symphoricarpos	mollis	native
702	Tamarix	aphylla	introduced
703	Tamarix	parviflora	introduced
704	Tamarix	ramosissima	introduced
705	Taragopogon	porrifolius	introduced
706	Taraxacum	officinale	introduced
707	Tetragonia	tetragonioides	introduced
708	Thysanocarpus	conchuliferus	native
709	Thysanocarpus	curvipes	native
710	Thysanocarpus	laciniatus	native
711	Tomcat	clover	native
712	Torilis	arvensis	introduced
713	Torilis	nodosa	introduced
714	Toxicodendron	diversilobum	native
715	Trifolium	albopurpureum	native
716	Trifolium	barbigerum	native
717	Trifolium	ciliolatum	native
718	Trifolium	fucatum	native
719	Trifolium	gracilentum	native
720	Trifolium	macraei	native
721	Trifolium	microcephalum	native
722	Trifolium	palmeri	native
723	Trifolium	variegatum	native
724	Triodanis	biflora	native
725	Triteleia	hyacinthine	native
726	Tropaeolum	majus	introduced
727	Typha	domingensis	native
728	Typha	latifolia	native
729	Uropappus	lindleyi	native
730	Urospermum	picroides	native
731	Urtica	dioica	native
732	Urtica	urens	introduced
733	Vaccinium	ovatum	native
734	Venegasia	carpesioides	native
735	Verbascum	Thapsus	introduced
736	Verbena	bracteata	native
737	Verbena	lasiostachys	native
738	Vernal	barely;	native
739	Veronica	anagallis-aquatica	introduced
740	Vicia	Americana	native
741	Vicia	benghalensis	introduced
742	Vicia	hassei	native
743	Vicia	ludoviciana	native
744	Vicia	sativa	introduced
745	Vinca	major	introduced
746	Viola	pedunculata	native
747	Vulpia	bromoides	introduced
748	Vulpia	microstachys	native
749	Vulpia	myuros	introduced
750	Vulpia	octoflora	native
751	Washintonia	filifera	native
752	Woodwardia	fimbriata	native
753	Xanthium	spinosum	introduced
754	Yabea	microcarpa	native
755	Zannichellia	palustris	native
756	Zantedeschia	aethiopica	introduced
757	Zigadenus	fremontii	native
758	Zostera	marina	native
759	Zostera	pacifica	native
